id,quality
3740,5.31
419,5.07
5989,5.64
5266,5.48
2405,5.33
89,4.36
4832,5.41
5611,4.26
3391,5.66
464,4.44
1944,5.44
6080,5.78
1490,4.76
2873,5.55
145,5.25
3679,4.42
2444,5.17
1847,4.96
6280,4.41
185,5.13
3674,4.67
1268,5.31
5742,5.01
5034,5.78
1346,5.56
1773,5.44
5481,5.64
5343,5.51
2537,4.94
3711,4.36
1246,4.38
1867,5.36
480,4.52
2506,5.71
2613,4.51
5048,4.95
3044,5.55
592,5.48
3659,5.49
3214,5.05
1960,4.85
283,4.81
975,5.51
1422,5.48
4642,5.4
1716,4.47
3249,5.22
6272,5.63
1928,5.15
3149,4.15
2739,5.56
4687,5.21
3907,5.15
2291,5.42
1214,4.53
3774,5.65
4406,5.71
4940,6.14
6222,5.8
2399,4.54
1221,5.61
3452,5.82
2227,5.22
2807,4.5
3994,5.54
4302,4.42
629,5.8
540,4.55
4792,4.96
2324,5.59
4211,5.65
5007,4.75
4913,6.06
4695,4.78
4170,5.5
420,5.71
5013,4.6
3648,5.46
1219,5.74
1649,4.74
4745,5.46
181,5.61
3256,5.69
5704,4.29
3936,5.91
4575,5.06
104,4.58
3409,5.25
2156,5.24
2483,4.18
4568,5.22
2278,5.4
2869,5.6
4692,5.55
6139,5.67
3601,5.5
1227,5.4
1518,5.51
123,5.63
65,4.26
2991,4.61
852,4.49
4197,6.13
1728,5.56
1300,4.22
1018,4.34
6462,5.64
841,4.88
3831,4.22
86,5.77
5828,5.01
4594,5.51
1352,4.68
1670,5.5
5409,5.37
1406,5.84
1776,5.48
196,5.65
2875,5.66
1047,4.97
285,5.56
115,5.19
1958,4.78
5882,5.35
6323,5.38
5268,5.79
4601,5.76
4993,5.15
3706,5.73
4212,4.6
397,5.25
6027,5.52
507,5.62
5479,5.52
4509,5.52
2315,5.68
2029,4.96
3097,5.55
2231,5.45
4864,5.34
2281,4.77
2609,5.62
4987,5.82
1137,4.56
4083,5.03
3111,5.47
964,5.63
2158,4.73
911,5.61
5115,5.67
5772,5.45
5873,4.56
523,5.32
5006,6.13
5235,5.68
5796,5.22
2192,4.46
5914,4.32
472,5.44
1888,5.52
4889,5.56
6296,4.65
1051,6.13
3222,5.01
4294,4.79
786,5.1
1531,4.7
559,4.55
4917,5.58
2543,5.43
5561,4.6
632,5.63
6434,5.68
2856,5.54
822,4.44
3564,5.46
2120,4.16
2045,5.84
4048,4.89
3972,5.51
1863,4.23
137,5.28
2433,5.56
4300,5.64
4291,5.48
3902,5.09
3025,4.89
1053,4.51
5723,4.37
1880,4.16
4253,5.77
3737,5.62
1329,5.38
2725,5.4
3883,5.48
241,6.14
4527,4.5
3271,5.79
3464,4.61
5957,6.07
4970,5.8
6463,5.66
2421,5.63
950,6.2
5770,5.24
5802,4.545
4738,5.62
2364,5.55
5874,5.36
2144,5.81
1207,5.08
4088,4.62
3188,5.64
3421,4.85
2097,4.65
4652,5.78
620,4.61
3848,4.49
2646,5.84
4514,5.66
2884,5.42
732,5.66
4393,5.21
5908,5.34
2765,5.59
5745,4.37
5535,5.96
132,5.33
5418,5.35
4058,4.52
6260,5.57
118,5.86
2696,5.57
650,5.81
3352,5.9
1282,5.6
111,5.56
108,4.53
2853,5.34
4052,5.62
4248,5.42
5662,5.54
5331,5.17
3038,4.52
4946,5.23
4103,4.97
6201,5.56
3382,5.57
6049,5.71
4867,5.56
155,5.64
1715,4.32
432,4.67
5263,4.87
5617,5.52
6362,5.78
3349,5.54
1954,5.61
1775,4.99
3525,5.7
4731,4.32
2761,5.7
4278,4.74
5060,5.36
477,4.99
2923,4.91
4193,4.57
4174,4.33
729,5.57
5340,5.75
3405,5.63
5321,5.63
3821,4.49
2982,5.6
51,5.59
717,5.84
1141,5.69
5437,5.56
1613,4.52
2126,5.56
4095,4.58
81,5.56
3692,5.43
2057,4.95
415,5.81
5032,5.85
1040,4.75
6024,4.61
6479,5.43
6102,5.57
969,5.72
4236,5.41
1135,5.33
982,5.01
1334,5.61
6458,5.45
4885,5.24
4828,5.51
2823,5.62
4068,4.43
6203,5.55
5188,5.55
1496,5.5
484,5.66
1404,4.14
874,5.36
4853,5.13
5212,5.52
782,4.32
5347,5.56
5334,4.12
5716,4.71
2755,4.36
4984,5.56
4220,5.66
4246,5.55
66,5.36
828,4.54
1679,4.16
3538,4.545
1877,4.45
6147,5.42
2947,5.98
5122,4.1
3658,4.61
2301,4.66
1192,4.53
3640,6.06
1692,5.4
2900,4.81
5564,4.67
5352,5.17
3017,4.69
5165,5.16
4649,5.8
2820,4.46
5917,4.39
3140,5.39
2383,4.64
6010,5.57
743,5.58
1921,4.63
1606,5.58
5569,4.3
263,5.42
4963,4.2
4374,4.635
6165,5.42
3799,5.99
6345,5.48
2320,5.55
4530,5.26
6066,5.58
867,5.63
1647,5.71
226,4.31
5098,5.62
6489,4.05
22,5.77
2430,5.42
3152,4.26
41,5.46
3717,5.9
865,5.45
4440,5.57
2779,5.4
749,5.31
585,5.14
1662,5.47
4838,5.45
4804,6.2
683,5.93
452,5.71
2784,4.64
6002,5.54
1423,4.26
644,5.05
2591,5.23
1814,5.61
280,5.45
435,5.62
5996,5.02
2913,4.31
3418,5.65
1757,5.51
2882,4.97
6497,4.24
5285,5.56
1038,5.52
1356,4.52
3638,5.43
640,5.64
2527,5.54
766,5.59
30,5.53
5498,5.57
95,4.83
1143,4.95
2095,4.56
5629,4.92
5846,5.47
5262,5.5
5495,5.34
4408,5.6
2007,5.59
2948,4.95
2864,5.19
2668,4.77
1366,5.64
5465,4.4
4646,5.55
734,5.38
5090,5.93
1579,5.56
5688,5.6
